cor,se,CI
0.523105197473515,0.023004082170919843,1
0.5273467644943786,0.022862973093943313,1
0.5296146201024143,0.022787058208360918,1
0.5010005435366784,0.02372101908423724,1
0.5293243067851013,0.02279679442643059,1
0.521370267458381,0.023061471695120437,1
0.47255711157724334,0.024598012017052466,1
0.4948620267315082,0.02391462350938068,1
0.44250889362395757,0.025468822328837886,0
0.5344332819383336,0.022624675399275925,1
0.5265215289478204,0.022890516439204714,1
0.4908538993434332,0.02403974897606973,1
0.4754816506887028,0.024510203640199235,1
0.4943291629781389,0.023931317064675606,1
0.49025332539465716,0.024058409996332252,1
0.5011766812065239,0.02371542860297245,1
0.4722074436803921,0.024608474427982262,1
0.4970362131999936,0.023846324197373737,1
0.49620759762854705,0.023872389416404165,1
0.4959492606997889,0.023880506859480424,1
0.4881495165047611,0.024123599310539832,1
0.5090920571740738,0.02346217193816005,1
0.5014286436701101,0.023707428081894407,1
0.5283692964036718,0.022828784879526387,1
0.4983167521880075,0.023805957581562932,1
0.5029015770319772,0.023660577816989204,1
0.5626946771341957,0.02164269390910009,0
0.45508132976241183,0.02511142609415502,1
0.48147347340213575,0.02432860903264133,1
0.49059040309140356,0.02404793913861803,1
0.4831044016182738,0.024278786641916378,1
0.5182105900705469,0.02316550045874781,1
0.4483537415992568,0.025303916356539134,0
0.49464342413604695,0.023921474067036385,1
0.5237802891507364,0.022981699374029593,1
0.5299008767305342,0.022777452812112155,1
0.5160296257885547,0.023236937325015694,1
0.4599921072012258,0.02496910849083077,1
0.5126624573111825,0.023346636324180818,1
0.5337414983155206,0.022648078048180715,1
0.4891631802726081,0.024092224588621418,1
0.4984835423789327,0.02380069218501563,1
0.5231180563069463,0.023003656103466746,1
0.4820342474188447,0.02431149724025162,1
0.5413545803160066,0.022388863002231318,1
0.48456497214212835,0.024234025418446433,1
0.5188923396567728,0.023143108134976532,1
0.5319041333718838,0.022710087894606823,1
0.4862602271069931,0.02418190252858612,1
0.48895034813858484,0.02409881752502063,1
0.48630618094053163,0.024180487082171218,1
0.4649145384420832,0.02482492020486669,1
0.48548923142045536,0.02420563039433524,1
0.48869628476397625,0.024106683931647895,1
0.5223257811187298,0.02302988796933936,1
0.5051056347505217,0.023590215679607333,1
0.4868685923410731,0.024163153138575786,1
0.5412466150471632,0.022392564734405117,1
0.5246065994137367,0.02295426360433488,1
0.5247904965899562,0.022948151829590667,1
0.5071635391546415,0.023524241556099324,1
0.5097781350400449,0.023440033616862557,1
0.5464199298386964,0.02221436087848747,0
0.4731139865199845,0.024581333777255392,1
0.4993800381401541,0.02377236053726124,1
0.4949522593672545,0.023911794920810567,1
0.45130241718106545,0.025219901522935906,0
0.47364296754636914,0.02456547276065945,1
0.4930149657252139,0.023972411358692644,1
0.48044451482552447,0.024359955482258167,1
0.4740766861717518,0.024552454877160734,1
0.48723189175684783,0.02415194532549153,1
0.5479581437470119,0.02216104745911208,0
0.5189969354474544,0.023139670041721235,1
0.5347877891253074,0.022612670874459607,1
0.5178634763088766,0.023176890231418598,1
0.49655158134539606,0.02386157422482426,1
0.4679393166178281,0.024735556829899984,1
0.4696438071709466,0.024684944445133798,1
0.48401932609933107,0.024250763314064352,1
0.4651711567422998,0.024817361228112872,1
0.5088027824170109,0.023471497303839996,1
0.4978351688032542,0.023821150789874766,1
0.4914208320486071,0.024022112293263013,1
0.4868397438929228,0.02416404275699256,1
0.4605380551802153,0.024953192205842255,1
0.5290529045116582,0.022805891597934128,1
0.5203746531597774,0.023094319392999732,1
0.4634064184738179,0.024869259263252116,1
0.5055101254818751,0.02357726933800998,1
0.4615209067437882,0.024924491072454924,1
0.4926540887179017,0.023983676658527547,1
0.5215492392304799,0.023055560330477003,1
0.5132497648205815,0.023327554135820407,1
0.500149314556423,0.023748008775199794,1
0.5040967733548909,0.02362246066636601,1
0.47924720702635276,0.024396346146341716,1
0.5143335530396659,0.023292283451015746,1
0.4848039172312435,0.0242266897514625,1
0.5054114992680371,0.0235804269754937,1
0.4948233364689632,0.023915836203425817,1
0.5117179222611227,0.023377279357326704,1
0.4833882160929852,0.02427009932824184,1
0.5214512021426065,0.023058798706798906,1
0.46426294475446406,0.02484409487786088,1
0.48100662321147214,0.024342839583728314,1
0.5059698407781037,0.02356254286788728,1
0.5169015198937644,0.023208414828544226,1
0.49879127812333446,0.02379097265604543,1
0.5181240494540652,0.02316834081241823,1
0.4849695973499448,0.024221601212117885,1
0.4621558162578377,0.024905917978520747,1
0.49731922886663027,0.023837411594559644,1
0.4881846038722235,0.024122514380652806,1
0.5103993176935441,0.023419963612761288,1
0.5147181829166866,0.02327974821121398,1
0.505193446794274,0.02358740600216883,1
0.4986198204278837,0.02379638871769817,1
0.4940435434566638,0.02394025754912348,1
0.49672641274153206,0.02385607447847136,1
0.5330180438411166,0.02267251967810966,1
0.484286911400241,0.02424255739171141,1
0.517312014871502,0.023194969528882847,1
0.4803788247573037,0.024361954403475616,1
0.5068186674970999,0.023535316467467735,1
0.5010584256911433,0.02371918216362098,1
0.4970666499758813,0.023845365939509765,1
0.5040875764295326,0.023622754319766397,1
0.5087988910289887,0.023471622714591748,1
0.500400041748145,0.02374006380314257,1
0.5499491903887396,0.022091816628708037,0
0.516129296774391,0.023233679199988495,1
0.4755675700366756,0.0245076157467725,1
0.45567158687547504,0.025094400815808156,1
0.4902279204586478,0.024059198874282383,1
0.5485751584094516,0.02213962004656453,0
0.48839129437848394,0.024116121759734172,1
0.4776091203454555,0.024445986633287613,1
0.49220639194797616,0.02399764069880455,1
0.514772348646225,0.02327798217593728,1
0.5073177027930201,0.0235192884413037,1
